Degree,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
1,0.0,27.59973970579405,25.484198899573855,27.372357636448584
1,0.01,27.599739709946054,25.48407244420478,27.372334140598518
1,0.1,27.59974012077884,25.482934896393914,27.372123085926447
1,1.0,27.599780990093777,25.471613627382354,27.37005268545124
1,10.0,27.603667596374212,25.363548104418765,27.35313522726893
1,100.0,27.87338578764327,24.631022638402786,27.427020310897447
2,0.0,27.19732780892319,25.803941388301073,26.946463647326972
2,0.01,27.197327813998445,25.80385065792239,26.946491867755235
2,0.1,27.197328315258634,25.803034681552635,26.946745440214904
2,1.0,27.197377289229422,25.794932430115292,26.949240862369745
2,10.0,27.201404800500768,25.718451754201023,26.97062278078878
2,100.0,27.412773269841008,25.143210200900597,27.09778213290414
3,0.0,0.914509707037331,1.089277707788327,1.0295721441017887
3,0.01,0.9145097259940244,1.0892383205527387,1.0295183977794526
3,0.1,0.9145115958938084,1.0888859874565728,1.029037460105393
3,1.0,0.9146919737501747,1.085568805102202,1.0244950246110152
3,10.0,0.9276656223391262,1.0676335617336339,0.9992520828438285
3,100.0,1.143350376276999,1.1477382439654589,1.11997865100951
6,0.0,0.8534605848753807,1.141513929834698,1.1857376094982013
6,0.01,0.8534607109281365,1.1414426222102962,1.1855156377322502
6,0.1,0.8534729876716812,1.140816193862064,1.1835477045969984
6,1.0,0.8545230628957619,1.1358690414282768,1.1664988632656887
6,10.0,0.8895289006973641,1.1337883052708635,1.1109415486459118
6,100.0,1.0597482841426724,1.2263866298082986,1.2551290007235165
9,0.0,0.796321279867482,1.2877869810141755,1.217476674335041
9,0.01,0.7963215815737436,1.2879284758443106,1.2170333844291434
9,0.1,0.7963503279809577,1.2892244138988391,1.2132500437414184
9,1.0,0.7983872978201805,1.303199570886688,1.1899728536935978
9,10.0,0.8321271548782936,1.3841315472145477,1.1917704681160108
9,100.0,0.9953059504468871,1.5554977074788263,1.4600314859220351
