gamma,Train Accuracy,Val Accuracy,Test Accuracy
6,1.0,0.5882352941176471,0.65
6,1.0,0.8739495798319328,0.95
6,1.0,1.0,1.0
6,1.0,1.0,1.0
6,0.9928741092636579,0.9789915966386554,1.0
