degree,Train Accuracy,Val Accuracy,Test Accuracy
1,0.7482185273159145,0.7142857142857143,0.7083333333333334
2,0.5344418052256532,0.4957983193277311,0.4666666666666667
3,0.7553444180522565,0.726890756302521,0.7083333333333334
4,0.5391923990498813,0.4579831932773109,0.5083333333333333
6,0.5261282660332541,0.4495798319327731,0.5
