Number of Components,Training Accuracy,Validation Accuracy,Testing Accuracy
2,0.9287410926365796,0.8823529411764706,0.9166666666666666
4,0.9904988123515439,0.9873949579831933,1.0
5,1.0,0.9957983193277311,1.0
8,1.0,0.9957983193277311,1.0
10,1.0,1.0,1.0
12,1.0,0.9915966386554622,1.0
