Degree,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
1,0.0,27.42397576088527,23.732827535167356,24.773740299950518
1,0.01,27.42397587817812,23.731355739795205,24.774141734061132
1,0.1,27.42398747081978,23.7181277795204,24.77776214429875
1,1.0,27.42512764875099,23.587630830981247,24.814690984344615
1,10.0,27.52226777173471,22.44367718631475,25.24079802560163
1,100.0,30.494594219343327,18.45268991602724,29.78835845151943
2,0.0,8.207701084385695,7.648468899080944,7.958200966681986
2,0.01,8.207701519865452,7.6474885412851,7.958013533255829
2,0.1,8.207744461757942,7.638705091979233,7.956367903903767
2,1.0,8.211873585019857,7.554654821921088,7.943849276796241
2,10.0,8.501895103593123,6.978566367857042,8.098846348780889
2,100.0,13.657071774144365,5.64612766991062,13.24083277367495
3,0.0,6.071025710978906,6.22935852480536,6.707460965915585
3,0.01,6.071026235231358,6.228767688271565,6.7070434041497435
3,0.1,6.071077907008835,6.223508690488152,6.703324860168466
3,1.0,6.076023032496743,6.1764845192597315,6.669902263175784
3,10.0,6.40555948893619,6.085365716689603,6.599560211214174
3,100.0,11.028895207771532,8.630834181384865,9.782647254239219
6,0.0,2.1935612531812745e-12,2.4329068949578424e-12,1.8665800682216717e-12
6,0.01,0.001003359718024421,0.0007229330310330435,0.001095744026450711
6,0.1,0.009899439672110141,0.007143442702287048,0.010847306277975663
6,1.0,0.08919010514151336,0.06521434918713856,0.10007049512084526
6,10.0,0.6447518339934024,0.5162028968080985,0.7439361410949379
6,100.0,3.363211194877312,3.027860643988313,3.755942764046715
9,0.0,1.6055527415628483e-10,1.396284033652762e-10,1.8866671990841697e-10
9,0.01,0.007568417840003665,0.007835775710750954,0.006642909910073737
9,0.1,0.04856996060136797,0.05018055371713964,0.043581060767293206
9,1.0,0.16522391524915375,0.17410209242360244,0.1635930276106835
9,10.0,0.7550221412198128,0.8431509361892715,0.7413697994306305
9,100.0,2.4849912876482723,2.8898481932771296,2.3888380744074866
