num hidden nodes 1,num hidden nodes 2,Train Accuracy,Val Accuracy,Test Accuracy
1,1,0.7529691211401425,0.726890756302521,0.7166666666666667
1,2,0.7553444180522565,0.7184873949579832,0.7083333333333334
1,4,0.7517814726840855,0.7184873949579832,0.7166666666666667
1,6,0.5118764845605701,0.4789915966386555,0.48333333333333334
2,1,0.7470308788598575,0.7142857142857143,0.7
2,2,0.7505938242280285,0.7142857142857143,0.7166666666666667
2,4,0.7672209026128266,0.7226890756302521,0.725
2,6,0.7565320665083135,0.7226890756302521,0.7083333333333334
4,1,0.7826603325415677,0.7310924369747899,0.75
4,2,0.7553444180522565,0.7100840336134454,0.7166666666666667
4,4,0.7482185273159145,0.7226890756302521,0.7
4,6,0.7494061757719715,0.726890756302521,0.7166666666666667
6,1,0.7826603325415677,0.7352941176470589,0.7416666666666667
6,2,0.7814726840855107,0.7310924369747899,0.75
6,4,0.8040380047505938,0.7394957983193278,0.775
6,6,0.7743467933491687,0.7226890756302521,0.7333333333333333
