Number of Components,Training Accuracy,Validation Accuracy,Testing Accuracy
2,0.827790973871734,0.7773109243697479,0.825
4,0.9916864608076009,0.9705882352941176,1.0
5,0.995249406175772,0.9915966386554622,1.0
8,0.998812351543943,0.9957983193277311,1.0
10,1.0,0.9957983193277311,1.0
12,1.0,1.0,1.0
