Number of Components,Training Accuracy,Validation Accuracy,Testing Accuracy
2,0.5894285714285714,0.552,0.558
4,0.6277142857142857,0.573,0.52
5,0.6405714285714286,0.538,0.51
8,0.7125714285714285,0.535,0.534
10,0.7434285714285714,0.564,0.506
12,0.7608571428571429,0.547,0.516
