epoch,loss
50,0.07831735288103421
100,0.0389335285872221
150,0.026483999953294795
200,0.015420954519261917
250,0.011195790313649923
300,0.008377010507198671
350,0.006508692740074669
400,0.005578905790268133
450,0.004640124466580649
500,0.0041954671711816145
550,0.0034606333162325123
600,0.003411657079899063
650,0.002932724601123482
700,0.0026138659741263837
750,0.0023590963586078337
800,0.002180827781558037
850,0.002086978948985537
900,0.0018575023035130773
950,0.001772311045594203
1000,0.0017953555410106976
