epoch,loss
50,0.05296929941202203
100,0.022474658287440736
150,0.014830754099724194
200,0.009364160941913724
250,0.00716127606574446
300,0.005823306952758382
350,0.004810852697119117
400,0.004102703727160891
450,0.0035224761037776866
500,0.0032236973250595233
550,0.0031713664163059243
600,0.0025667061660593995
650,0.0025065584341064095
700,0.0022339446586556733
750,0.0019962854421464726
800,0.0018887510474693652
850,0.001708371043302274
900,0.0016054431665300701
950,0.0015021560757304542
1000,0.001616557424616379
