epoch,loss
50,0.1953121485809485
100,0.08733634029825528
150,0.051107437970737614
200,0.036269983276724815
250,0.029128357923279207
300,0.02293835099165638
350,0.019134192261844873
400,0.017012056273718674
450,0.015052572901671132
500,0.01316522698228558
550,0.011353066617933413
600,0.011440868799885115
650,0.009490049094893038
700,0.00878918512413899
750,0.0091188340059792
800,0.007611658559956898
850,0.007093036004031698
900,0.006867565447464585
950,0.006117976037785411
1000,0.005956514272838831
