epoch,loss
50,0.07235292003800471
100,0.0398799745986859
150,0.026275379117578268
200,0.017290789323548477
250,0.013076105310271183
300,0.009654131213513514
350,0.0077334796854605274
400,0.00620935073432823
450,0.005259221012238413
500,0.004356519542246436
550,0.0038820822859027735
600,0.003483353415504098
650,0.0030789234248610833
700,0.00285958707293806
750,0.002606149840479096
800,0.0024142253775304803
850,0.002231822300624723
900,0.0021155551560999206
950,0.0019772506590622165
1000,0.0021776835492346436
