dim,num hidden nodes 1,num hidden nodes 2,Train Accuracy,Val Accuracy,Test Accuracy
40,40,40,0.6531428571428571,0.367,0.32
40,40,60,0.6377142857142857,0.371,0.328
40,60,40,0.6751428571428572,0.371,0.32
40,60,60,0.6754285714285714,0.361,0.316
60,40,40,0.682,0.34,0.322
60,40,60,0.6662857142857143,0.348,0.326
60,60,40,0.6837142857142857,0.348,0.314
60,60,60,0.6802857142857143,0.343,0.318
