lr,num hidden nodes,Train Accuracy,Val Accuracy,Test Accuracy
0.01,1,1.0,1.0,1.0
0.001,1,1.0,1.0,1.0
0.0003,1,0.875,0.8666666666666667,0.82
0.01,2,1.0,1.0,1.0
0.001,2,1.0,1.0,1.0
0.0003,2,0.9833333333333333,0.9777777777777777,0.98
0.01,4,1.0,1.0,1.0
0.001,4,1.0,1.0,1.0
0.0003,4,0.9833333333333333,0.9777777777777777,0.98
0.01,6,1.0,1.0,1.0
0.001,6,1.0,1.0,1.0
0.0003,6,0.9888888888888889,0.9777777777777777,0.98
