num hidden nodes 1,num hidden nodes 2,Train Accuracy,Val Accuracy,Test Accuracy
6,6,0.9833729216152018,0.9663865546218487,1.0
6,10,0.9750593824228029,0.9663865546218487,1.0
6,15,0.9631828978622328,0.9327731092436975,0.975
6,20,0.9809976247030879,0.9747899159663865,1.0
10,6,0.9928741092636579,0.9789915966386554,1.0
10,10,0.9857482185273159,0.9621848739495799,0.9916666666666667
10,15,0.9239904988123515,0.907563025210084,0.9416666666666667
10,20,0.9809976247030879,0.9663865546218487,0.9916666666666667
15,6,0.9881235154394299,0.9831932773109243,1.0
15,10,0.9881235154394299,0.9789915966386554,1.0
15,15,0.9904988123515439,0.9747899159663865,1.0
15,20,0.9869358669833729,0.9663865546218487,1.0
20,6,0.9893111638954869,0.9915966386554622,1.0
20,10,0.9916864608076009,0.9873949579831933,1.0
20,15,0.9893111638954869,0.9831932773109243,1.0
20,20,0.9916864608076009,0.9873949579831933,1.0
