reduced_dim,gamma,Train Accuracy,Val Accuracy,Test Accuracy
40,100.0,1.0,0.203,0.202
40,10.0,0.984,0.425,0.362
40,1.0,0.6891428571428572,0.411,0.332
40,0.1,0.6097142857142858,0.421,0.32
40,0.01,0.5474285714285714,0.425,0.34
60,100.0,1.0,0.2,0.2
60,10.0,0.9965714285714286,0.429,0.358
60,1.0,0.7005714285714286,0.396,0.32
60,0.1,0.6097142857142858,0.411,0.316
60,0.01,0.5477142857142857,0.411,0.35
